epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
74,25161.2,0.55065,0.62155,1.21283,0.97323,0.92623,0.99089,0.95234,0.30565,0.33054,0.76205,0.000249658,0.000249658,0.000249658
75,25512.5,0.5698,0.62846,1.23959,0.92943,0.97348,0.98486,0.94129,0.308,0.35361,0.77314,0.000230242,0.000230242,0.000230242
76,25856.8,0.38629,0.50564,1.0797,0.96858,0.97541,0.99343,0.95468,0.29335,0.31295,0.76053,0.000210826,0.000210826,0.000210826
77,26204.5,0.37974,0.47595,1.06076,0.96813,0.96719,0.9938,0.95893,0.29439,0.33087,0.75439,0.000191411,0.000191411,0.000191411
78,26553.1,0.37766,0.47572,1.04213,0.97385,0.97541,0.99231,0.96002,0.28337,0.31261,0.74231,0.000171995,0.000171995,0.000171995
79,26901.8,0.34461,0.45969,1.03155,0.9449,0.98408,0.99207,0.96056,0.28864,0.31489,0.74324,0.00015258,0.00015258,0.00015258
80,27254.5,0.35632,0.43792,1.04896,0.95604,0.96721,0.99205,0.95567,0.2847,0.31754,0.73417,0.000133164,0.000133164,0.000133164
81,27600.9,0.35236,0.41173,1.02741,0.97216,0.97403,0.99324,0.96253,0.27187,0.29756,0.72454,0.000113748,0.000113748,0.000113748
82,27951,0.34551,0.4458,1.02035,0.9575,0.99707,0.9934,0.96892,0.25601,0.29053,0.71485,9.43326e-05,9.43326e-05,9.43326e-05
83,28303.1,0.33798,0.41168,1.02591,0.97191,0.98841,0.9942,0.96958,0.26161,0.28081,0.71613,7.49169e-05,7.49169e-05,7.49169e-05
84,28654.7,0.33626,0.40896,1.00886,0.97303,0.97541,0.9934,0.96586,0.25565,0.29106,0.71037,5.55013e-05,5.55013e-05,5.55013e-05
85,29003.5,0.32904,0.40102,1.00599,0.97144,0.9907,0.99436,0.96535,0.25616,0.28139,0.71156,3.60856e-05,3.60856e-05,3.60856e-05
